iter	Logloss
234	0.1796562319
235	0.1795142776
236	0.1794238988
237	0.1793640486
238	0.1792347888
239	0.1791518199
240	0.1790255459
241	0.1789221252
242	0.1788539397
243	0.1787172639
244	0.1786024075
245	0.1784804901
246	0.1783263858
247	0.1781999323
248	0.1780929283
249	0.1779480429
250	0.1778654541
251	0.1777838693
252	0.1777803932
253	0.177655815
254	0.1775524792
255	0.1775116881
256	0.177456276
257	0.1774089498
258	0.1772662033
259	0.1771528965
260	0.177033951
261	0.176977631
262	0.176806649
263	0.1767692535
264	0.1766541475
265	0.1765337336
266	0.1764414205
267	0.1763565586
268	0.1762658897
269	0.1761708652
270	0.1761283154
271	0.1760558323
272	0.1759726736
273	0.1758570737
274	0.1757957597
275	0.1757562823
276	0.1756928702
277	0.1756091819
278	0.1755390177
279	0.1755014268
280	0.1754811347
281	0.1754184088
282	0.1753584222
283	0.1752880185
284	0.1752395334
285	0.1751723623
286	0.1750743869
287	0.1750136008
288	0.1749544977
289	0.1749011145
290	0.1748630727
291	0.1748075786
292	0.1747812997
293	0.1747179424
294	0.1746774843
295	0.1746323323
296	0.1746012808
297	0.1745561494
298	0.1744853748
299	0.1744440852
300	0.1744046052
301	0.1743475417
302	0.17430905
303	0.1742618497
304	0.174221327
305	0.1741985273
306	0.1741369609
307	0.174109857
308	0.17406886
309	0.1740098232
310	0.1739926006
311	0.1739544815
312	0.1739044193
313	0.1738717287
314	0.173812921
315	0.1737315196
316	0.1736778829
317	0.1736619078
318	0.1736179462
319	0.173588824
320	0.1735381137
321	0.1734861486
322	0.1734148263
323	0.1734145026
324	0.1733295719
325	0.1732637528
326	0.1732215057
327	0.1731881168
328	0.1731415337
329	0.1731213897
330	0.1730714473
331	0.1730404445
332	0.1730405895
333	0.1730347436
334	0.1729916499
335	0.1729840127
336	0.1729394678
337	0.1729060041
338	0.1728801934
339	0.1728444292
340	0.1727927343
341	0.1727461731
342	0.1727044621
343	0.1726980214
344	0.1726525692
345	0.1726184944
346	0.1726125483
347	0.1725951773
348	0.1725635642
349	0.1725288463
350	0.1724901762
351	0.1724652857
352	0.1724330426
353	0.172393621
354	0.172381676
355	0.1723350099
356	0.1722906337
357	0.1722698871
358	0.1722606973
359	0.1722383303
360	0.1722120073
361	0.1722120165
362	0.1721699081
363	0.1721493936
364	0.1721186717
365	0.1720919148
366	0.172058293
367	0.1720311162
368	0.1719927613
369	0.1719736047
370	0.1719583918
371	0.1718962381
372	0.171868679
373	0.171828493
374	0.1718014933
375	0.1717750497
376	0.1717677035
377	0.1717441834
378	0.1717354844
379	0.1716901903
380	0.1716621185
381	0.1716193291
382	0.1715992171
383	0.1715899218
384	0.1715726256
385	0.1715649224
386	0.1715513839
387	0.1715301038
388	0.1715226124
389	0.1714989534
390	0.1714553757
391	0.1714347194
392	0.171406851
393	0.1713918537
394	0.1713673126
395	0.1713119445
396	0.1712842485
397	0.171241947
398	0.1712175034
399	0.1711790458
400	0.1711634526
401	0.171148866
402	0.1711334395
403	0.1711266401
404	0.1710931631
405	0.1710775979
406	0.1710717552
407	0.1710475183
408	0.1710168951
409	0.1709939645
410	0.1709712948
411	0.1709237734
412	0.1708875778
413	0.1708752365
414	0.1708650764
415	0.1708243902
416	0.1708028169
417	0.1707849227
418	0.1707685006
419	0.1707451905
420	0.1707169857
421	0.1707007845
422	0.1707008187
423	0.1706968524
424	0.1706968524
425	0.1706968431
426	0.1706967747
427	0.1706967813
428	0.1706967813
429	0.1706913556
430	0.1706801874
431	0.1706604591
432	0.1706608396
433	0.1706518857
434	0.1706355084
435	0.1706214363
436	0.1706151143
437	0.1705851773
438	0.1705713746
439	0.1705567051
440	0.1705572961
441	0.1705333989
442	0.1705170572
443	0.1704905937
444	0.1704849614
445	0.1704626207
446	0.1704307199
447	0.1704160598
448	0.1704048768
449	0.1703715048
450	0.170354459
451	0.1703467905
452	0.1703426504
453	0.1703305689
454	0.1703206557
455	0.1702924325
456	0.1702633077
457	0.1702331571
458	0.1702243046
459	0.1701988797
460	0.1701880626
461	0.1701802323
462	0.1701801468
463	0.1701543766
464	0.1701465264
465	0.1701465264
466	0.1701378539
467	0.1701377644
468	0.1701377855
469	0.1701377131
470	0.1701377973
471	0.1701377657
472	0.1701384108
473	0.1701384108
474	0.1701385136
475	0.1701381412
476	0.1701381412
477	0.1701381412
478	0.1701266156
479	0.1701185325
480	0.1701090688
481	0.170098007
482	0.1700979254
483	0.1700979254
484	0.1700863168
485	0.1700721986
486	0.1700518139
487	0.1700463619
488	0.1700405621
489	0.1700255592
490	0.1700183968
491	0.1700131432
492	0.1700055645
493	0.1699913743
494	0.1699684068
495	0.1699576467
496	0.1699241213
497	0.1698947605
498	0.1698700352
499	0.1698463599
